id,name,team_id,pos_id,price,eo,xp_38,var_38,cap_xp_38,horizon_xp,next_gw_xp,in_xi,is_captain,is_vice,bank,free_transfers
74,Truffert,4,2,5.0,0.001,4.449639745871533,2.793079695039861,5.540449432255029,4.449639745871533,4.449639745871533,0,0,0,35.5,1
84,Tavernier,4,3,5.5,0.022000000000000002,4.747047955617943,2.941510115216162,5.901913327909958,4.747047955617943,4.747047955617943,1,0,0,35.5,1
64,Watkins,2,4,4.5,0.001,4.790104767031296,3.1474455946880813,5.999884961301066,4.790104767031296,4.790104767031296,1,0,0,35.5,1
16,Saka,1,3,6.4,0.003,5.029987803492619,3.288343020227321,6.291294855250827,5.029987803492619,5.029987803492619,1,0,0,35.5,1
316,Robinson,10,2,5.5,0.016,4.07716103442144,2.5755471325499406,5.059882216540346,4.07716103442144,4.07716103442144,0,0,0,35.5,1
430,Haaland,13,4,5.5,0.0,5.68355142508065,4.600910235008331,7.520475834760569,5.68355142508065,5.68355142508065,1,1,0,35.5,1
119,Mbeumo,14,3,4.5,0.0,4.387153835891221,3.336845567479186,5.631936666392107,4.387153835891221,4.387153835891221,0,0,0,35.5,1
449,B.Fernandes,14,3,5.1,0.084,5.589822004858507,3.577142263720183,6.963807269636527,5.589822004858507,5.589822004858507,1,0,1,35.5,1
733,Lammens,14,1,0.51,0.036000000000000004,3.82339315451452,2.1426935945377346,4.648600343119478,3.82339315451452,3.82339315451452,0,0,0,35.5,1
547,E.Le Fée,17,3,5.0,0.0,4.530936162736197,3.037868178903352,5.634150299285125,4.530936162736197,4.530936162736197,1,0,0,35.5,1
568,Pedro Porro,18,2,5.5,0.001,5.769997037842801,2.7691413282458415,6.8403138730089275,5.769997037842801,5.769997037842801,1,0,0,35.5,1
570,Danso,18,2,5.5,0.002,5.681414019896262,2.6149090499539067,6.704609749402524,5.681414019896262,5.681414019896262,1,0,0,35.5,1
575,Van de Ven,18,2,5.0,0.002,5.051844688222514,2.238716000898478,5.914561654258851,5.051844688222514,5.051844688222514,1,0,0,35.5,1
679,Hermansen,19,1,0.42000000000000004,0.01,4.478447123384465,1.9729900552338164,5.27933060967181,4.478447123384465,4.478447123384465,1,0,0,35.5,1
791,Taty,19,4,0.55,0.003,4.718526629455434,2.229970104201497,5.606624897937865,4.718526629455434,4.718526629455434,1,0,0,35.5,1
